location,information,sales_price
Sarıçam - Gültepe Mahallesi,Daire | 2+1 | 12. Kat | 90 m²,10.000 TL
Sarıçam - Osmangazi Mahallesi,Daire | 3+1 | 6. Kat | 14 m²,13.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 11. Kat | 50 m²,10.500 TL
Sarıçam - Ertuğrulgazi Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,8.750 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 5. Kat | 45 m²,16.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 9. Kat | 60 m²,1.530.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 5. Kat | 45 m²,16.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 9. Kat | 60 m²,1.530.000 TL
Seyhan - Barış Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,12.000 TL
Seyhan - Yeşilevler Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,130.000 TL
Seyhan - Reşatbey Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,25.750 TL
Seyhan - Pınar Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,22.750 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 8. Kat | 50 m²,20.000 TL
Seyhan - Aydınlar Mahallesi,Daire | 2+1 | 3. Kat | 108 m²,40.000 TL
Çukurova - Belediye Evleri Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,135.000 TL
Çukurova - Karslılar Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,250.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 1. Kat | 90 m²,13.500 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,10.000 TL
Seyhan - Pınar Mahallesi,Daire | 3+1 | 8. Kat | 165 m²,22.000 TL
Sarıçam - Osmangazi Mahallesi,Daire | 1+1 | 14. Kat | 60 m²,14.000 TL
Seyhan - Ulucamii Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,110.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,14.100 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 14. Kat | 60 m²,15.750 TL
Çukurova - Toros Mahallesi,Daire | 3+1 | 6. Kat | 170 m²,250.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 2+1 | 6. Kat | 120 m²,220.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 2+1 | 11. Kat | 120 m²,20.000 TL
Çukurova - Şambayadı Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,15.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 3+1 | 14. Kat | 135 m²,14.000 TL
Ceyhan - Namık Kemal Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,16.000 TL
Ceyhan - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,11.000 TL
Çukurova - Mahfesığmaz Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,22.000 TL
Seyhan - Pınar Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,26.000 TL
Seyhan - Yeşilevler Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,18.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,15.500 TL
Sarıçam - Yeni Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,15.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,16.500 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,290.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,26.500 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,23.000 TL
Çukurova - Şambayadı Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,15.000 TL
Çukurova - Belediye Evleri Mahallesi,Daire | 4+1 | 2. Kat | 230 m²,305.000 TL
Çukurova - Huzurevleri Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,24.000 TL
Yumurtalık - Akyuva Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,16.000 TL
Sarıçam - İstiklal Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,10.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 12. Kat | 90 m²,18.500 TL
Sarıçam - Osmangazi Mahallesi,Daire | 1+1 | 4. Kat | 80 m²,12.500 TL
Sarıçam - Elif Su Uludağ Mahallesi,Daire | 3+1 | 8. Kat | 160 m²,16.000 TL
Çukurova - Güzelyalı Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,30.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 12. Kat | 50 m²,12.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,15.000 TL
Çukurova - Huzurevleri Mahallesi,Daire | 4+1 | 9. Kat | 160 m²,32.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 14. Kat | 60 m²,18.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 6. Kat | 55 m²,11.000 TL
Sarıçam - Osmangazi Mahallesi,Daire | 1+1 | 5. Kat | 45 m²,12.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 5. Kat | 75 m²,17.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,20.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 11. Kat | 70 m²,20.000 TL
Çukurova - Mahfesığmaz Mahallesi,Daire | 3+1 | Çatı katı | 175 m²,26.500 TL
Sarıçam - Osmangazi Mahallesi,Daire | 1+1 | 14. Kat | 65 m²,12.500 TL
Çukurova - Güzelyalı Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,19.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,17.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,18.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 10. Kat | 130 m²,22.500 TL
Seyhan - Tellidere Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,21.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 2+1 | 13. Kat | 110 m²,25.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 10. Kat | 130 m²,22.500 TL
Seyhan - Tellidere Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,21.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 2+1 | 13. Kat | 110 m²,25.000 TL
Sarıçam - Elif Su Uludağ Mahallesi,Daire | 3+1 | Kot 1 (-1). Kat | 140 m²,20.500 TL
Sarıçam - Yıldırım Beyazıt Mahallesi,Daire | 1+1 | 3. Kat | 90 m²,13.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 6. Kat | 55 m²,13.000 TL
Çukurova - Şambayadı Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,16.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,290.000 TL
Seyhan - Namık Kemal Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,11.000 TL
Çukurova - Huzurevleri Mahallesi,Daire | 2+1 | 9. Kat | 90 m²,30.000 TL
Sarıçam - Göztepe Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,10.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 2. Kat | 40 m²,10.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 14. Kat | 75 m²,14.500 TL
Sarıçam - Göztepe Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,96.000 TL
Sarıçam - Göztepe Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,9.500 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,10.000 TL
Seyhan - Fatih Mahallesi,Daire | 3+1 | 3. Kat | 220 m²,16.000 TL
Seyhan - Pınar Mahallesi,Daire | 3+1 | 12. Kat | 165 m²,20.000 TL
Sarıçam - Elif Su Uludağ Mahallesi,Daire | 3+1 | 10. Kat | 120 m²,21.000 TL
Seyhan - Tellidere Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 130 m²,26.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 6. Kat | 120 m²,24.000 TL
Seyhan - Karakuyu Mahallesi,Daire | 3+1 | 4. Kat | 110 m²,12.000 TL
Seyhan - Mithatpaşa Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,24.500 TL
Çukurova - Karslılar Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,15.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 13. Kat | 55 m²,11.000 TL
Sarıçam - Elif Su Uludağ Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,16.250 TL
Seyhan - Pınar Mahallesi,Daire | 4+1 | 14. Kat | 200 m²,300.000 TL
Seyhan - Yenibaraj Mahallesi,Daire | 1+1 | 2. Kat | 85 m²,13.000 TL
Sarıçam - Yeşiltepe Mahallesi,Daire | 2+1 | 6. Kat | 130 m²,18.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,12.500 TL
Seyhan - Tepebağ Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.500 TL
Seyhan - Yenibaraj Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,14.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,14.500 TL
Seyhan - Yenibaraj Mahallesi,Daire | 1 Oda | 1. Kat | 50 m²,9.000 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 2+1 | 5. Kat | 130 m²,26.500 TL
Sarıçam - İstiklal Mahallesi,Daire | 2.5+1 | 5. Kat | 120 m²,105.000 TL
Çukurova - Yurt Mahallesi,Daire | 3+1 | 9. Kat | 195 m²,37.500 TL
Sarıçam - Sofudede Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,10.500 TL
Çukurova - Toros Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,18.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 6. Kat | 75 m²,16.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,14.000 TL
Seyhan - Yenibaraj Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,10.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,130.000 TL
İmamoğlu - Hürriyet Mahallesi,Daire | 2+1 | 4. Kat | 135 m²,19.500 TL
Sarıçam - Ertuğrulgazi Mahallesi,Daire | 3+1 | 8. Kat | 120 m²,13.000 TL
Sarıçam - Osmangazi Mahallesi,Daire | 3+1 | 6. Kat | 115 m²,13.000 TL
Seyhan - Mithatpaşa Mahallesi,Daire | 2+1 | 6. Kat | 105 m²,200.000 TL
Seyhan - Aydınlar Mahallesi,Daire | 2+1 | 9. Kat | 110 m²,21.000 TL
Seyhan - Aydınlar Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,30.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 2+1 | 4. Kat | 55 m²,17.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,11.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,20.500 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 145 m²,200.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,30.000 TL
Yüreğir - PTT Mahallesi,Daire | 3+1 | 12. Kat | 140 m²,20.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,28.500 TL
Seyhan - Aydınlar Mahallesi,Daire | 2.5+1 | 6. Kat | 105 m²,200.000 TL
Seyhan - Aydınlar Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,30.000 TL
Seyhan - Aydınlar Mahallesi,Daire | 2+1 | 9. Kat | 90 m²,21.000 TL
Seyhan - İsmetpaşa Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,15.000 TL
Seyhan - İsmetpaşa Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,15.000 TL
Sarıçam - Çınarlı Mahallesi,Daire | 1+1 | 7. Kat | 50 m²,12.000 TL
Çukurova - Güzelyalı Mahallesi,Daire | 3+1 | 2. Kat | 190 m²,27.500 TL
Sarıçam - Osmangazi Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,8.000 TL
Sarıçam - Çınarlı Mahallesi,Daire | 2+1 | 5. Kat | 75 m²,12.000 TL
Seyhan - Barış Mahallesi,Daire | 3+1 | 3. Kat | 190 m²,185.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,22.000 TL
Çukurova - Toros Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,18.500 TL
Çukurova - Toros Mahallesi,Daire | 3+1 | 8. Kat | 170 m²,280.000 TL
Seyhan - Türkocağı Mahallesi,Daire | 3+1 | 2. Kat | 220 m²,150.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,250.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,7.500 TL
Seyhan - Fevzipaşa Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,135.000 TL
Sarıçam - Çınarlı Mahallesi,Daire | 1+1 | 11. Kat | 50 m²,9.000 TL
Çukurova - Belediye Evleri Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,16.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 4+1 | 8. Kat | 150 m²,23.000 TL
Seyhan - Yenibaraj Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,10.000 TL
Çukurova - Beyazevler Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,8.000 TL
Çukurova - Beyazevler Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,7.500 TL
Çukurova - Karahan Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,140.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.500 TL
Seyhan - Yeşilyurt Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 45 m²,8.000 TL
Çukurova - Mahfesığmaz Mahallesi,Daire | 3+1 | 15. Kat | 150 m²,465.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,14.000 TL
Seyhan - Sümer Mahallesi,Daire | 3+1 | 7. Kat | 240 m²,35.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 3+1 | 12. Kat | 150 m²,27.000 TL
Sarıçam - Mehmet Akif Ersoy Mahallesi,Daire | 3+1 | 10. Kat | 150 m²,21.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,13.500 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,17.000 TL
Yüreğir - PTT Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,16.000 TL17.000 TL
Sarıçam - Boynuyoğun Mahallesi,Daire | 4+1 | 11. Kat | 165 m²,10.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,16.500 TL
Seyhan - Yeşiloba Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,22.500 TL
Seyhan - Pınar Mahallesi,Daire | 4+1 | 9. Kat | 220 m²,33.500 TL
Çukurova - Huzurevleri Mahallesi,Daire | 3+1 | 8. Kat | 165 m²,32.000 TL
Sarıçam - Göztepe Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,9.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,9.500 TL10.500 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 2+1 | 3. Kat | 150 m²,15.500 TL
Seyhan - Yenibaraj Mahallesi,Daire | 1+1 | 1. Kat | 80 m²,18.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,14.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,16.000 TL
Sarıçam - İstiklal Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,100.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 9. Kat | 70 m²,14.500 TL
Sarıçam - Göztepe Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,92.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,13.500 TL
Sarıçam - İstiklal Mahallesi,Daire | 2.5+1 | 5. Kat | 120 m²,16.500 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 75 m²,17.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | Stüdyo | 2. Kat | 35 m²,9.000 TL
Çukurova - Mahfesığmaz Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,140.000 TL
Çukurova - Güzelyalı Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,24.000 TL
Çukurova - Yurt Mahallesi,Daire | 3+1 | 4. Kat | 180 m²,280.000 TL
Seyhan - 2000 Evler Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,225.000 TL
Seyhan - Kuruköprü Mahallesi,Daire | 1 Oda | 5. Kat | 45 m²,9.000 TL
Çukurova - Mahfesığmaz Mahallesi,Daire | Stüdyo | 2. Kat | 55 m²,9.000 TL
Sarıçam - Osmangazi Mahallesi,Daire | 1+1 | 9. Kat | 60 m²,8.750 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 9. Kat | 60 m²,8.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 3+1 | 12. Kat | 150 m²,19.000 TL
Sarıçam - Buruk Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,12.500 TL
Seyhan - Yenibaraj Mahallesi,Daire | 3+1 | 7. Kat | 135 m²,26.000 TL
Seyhan - Yeni Mahallesi,Daire | 2+1 | 2. Kat | 135 m²,205.000 TL
Seyhan - Kurtuluş Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,23.000 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,10.000 TL
Çukurova - Huzurevleri Mahallesi,Daire | 4+1 | 7. Kat | 220 m²,45.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 10. Kat | 125 m²,21.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 6. Kat | 40 m²,12.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 14. Kat | 50 m²,14.500 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,8.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,9.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 2+1 | 10. Kat | 90 m²,17.000 TL
Seyhan - İsmetpaşa Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,27.000 TL
Seyhan - Yeşiloba Mahallesi,Daire | 3+1 | 8. Kat | 165 m²,22.000 TL
Seyhan - İsmetpaşa Mahallesi,Daire | 2+1 | 9. Kat | 120 m²,235.000 TL
Çukurova - Beyazevler Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,7.500 TL
Çukurova - Beyazevler Mahallesi,Daire | 1 Oda | 2. Kat | 45 m²,7.500 TL
Çukurova - Kurttepe Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,27.000 TL
Yumurtalık - Akdeniz Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,13.000 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,13.000 TL
Çukurova - Şambayadı Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,15.500 TL
Seyhan - Ziyapaşa Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,8.000 TL
Seyhan - Yenibaraj Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,9.000 TL
Pozantı - İstiklal Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,72.000 TL
Sarıçam - Mehmet Akif Ersoy Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,16.500 TL
Seyhan - Pınar Mahallesi,Daire | 3+1 | 9. Kat | 200 m²,30.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 6. Kat | 40 m²,12.500 TL13.500 TL
Seyhan - Yenibaraj Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,19.000 TL
Çukurova - Huzurevleri Mahallesi,Daire | 2+1 | 7. Kat | 150 m²,20.000 TL21.500 TL
Seyhan - Mithatpaşa Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,130.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 160 m²,285.000 TL
Çukurova - Yurt Mahallesi,Daire | 3+1 | 8. Kat | 185 m²,26.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | Stüdyo | 1. Kat | 45 m²,9.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | Stüdyo | 1. Kat | 45 m²,9.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | Stüdyo | 1. Kat | 40 m²,9.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Seyhan - Reşatbey Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,315.000 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 4+1 | 11. Kat | 240 m²,550.000 TL
Seyhan - Yeşiloba Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 85 m²,160.000 TL
